label,description
RB127_6,AGE FIRST DIAGNOSED -HEART TROUBLE
RB128_6,AGE FIRST DIAGNOSED-DK-HEART TROUBLE
RB129_6,AGE STOP HAVING-HEART TROUBLE
RB127_7,AGE FIRST DIAGNOSED -EAR PROBLEMS
RB128_7,AGE FIRST DIAGNOSED-DK-EAR PROBLEMS
RB129_7,AGE STOP HAVING-EAR PROBLEMS
RB127_8,AGE FIRST DIAGNOSED -EPILEPSY
RB128_8,AGE FIRST DIAGNOSED-DK-EPILEPSY
RB129_8,AGE STOP HAVING-EPILEPSY
RB127_9,AGE FIRST DIAGNOSED -MIGRAINES
RB128_9,AGE FIRST DIAGNOSED-DK-MIGRAINES
RB129_9,AGE STOP HAVING-MIGRAINES
RB127_10,AGE FIRST DIAGNOSED -STOMACH PROBS
RB128_10,AGE FIRST DIAGNOSED-DK-STOMACH PROBS
RB129_10,AGE STOP HAVING -STOMACH PROBS
RB127_11,AGE FIRST DIAGNOSED -HIGH BP
RB128_11,AGE FIRST DIAGNOSED-DK-HIGH BP
RB129_11,AGE STOP HAVING -HIGH BP
RB127_12,AGE FIRST DIAGNOSED -DEPRESSION
RB128_12,AGE FIRST DIAGNOSED-DK-DEPRESSION
RB129_12,AGE STOP HAVING -DEPRESSION
RB127_13,AGE FIRST DIAGNOSED-DRUG PROBS
RB128_13,AGE FIRST DIAGNOSED-DK-DRUG PROBS
RB129_13,AGE STOP HAVING-DRUG PROBS
RB127_14,AGE FIRST DIAGNOSED -PSYCH PROBS
RB128_14,AGE FIRST DIAGNOSED-DK-PSYCH PROBS
RB129_14,AGE STOP HAVING -PSYCH PROBS
RB020,RATE FAMILY FINANCIAL SITUATION - SES
RB021,MOVE DUE TO FINANCIAL DIFFICULTY
RB022,FAMILY GET FINANCIAL HELP IN CHILDHOOD
RB023,FATHER UNEMPLOYED DURING CHILDHOOD
RB024M,FATHER USUAL OCCUPATION-MASKED
RB025,LIVE WITH GRANDPARENTS DURING CHILDHOOD
RB078,LIVE W/ MOTHER 6 MONTHS OR MORE AS ADULT
RB079,DID MOVE HELP YOU- YOUR MOTHER- OR BOTH
RB080,SIBS LIVE W/ MOTH 6 MO OR MORE AS ADULT
RB081,MOVE MADE TO HELP MOTHER-SIBLINGS-BOTH
RB026,FATHER EDUCATION- HIGHEST GRADE
RB027,MOTHER EDUCATION- HIGHEST GRADE
RB088,MOTHER WORK DURING CHILDHOOD
RB136,MOTHER WORK OUTSIDE OF HOME
RB137M,MOTHERS MAIN OCCUPATION
RB028,R HISPANIC/LATINO
RB029M1M,TYPE HISPANIC - MASKED -1
RB029M2M,TYPE HISPANIC - MASKED -2
RB089M1M,R RACE - MULTIPLE RESPONSE -1 MASKED
RB089M2M,R RACE - MULTIPLE RESPONSE -2 MASKED
RB089M3M,R RACE - MULTIPLE RESPONSE -3 MASKED
RB091M,R RACE - PRIMARY - MASKED
RB135,SEXUAL ORIENTATION
RB033,NUMBER CHILDREN EVER
RB034,NUMBER LIVING CHILDREN
RB035,R SERVED IN MILITARY
RB036,YEAR MILITARY BEGIN
RB037,YEAR MILITARY END
RB038,MILITARY RELATED DISABILITY
RB096,MILITARY RANK WHEN LEFT
RB097,EVER FIRE WEAPON
RB039,YEAR MOVED TO MAIN RESIDENCE
RB040,MONTH MOVED TO MAIN RESIDENCE
RB041M1,REASONS FOR MOVE-1
RB041M2,REASONS FOR MOVE-2
RB047M,ST/COUNTRY R LIVED DURING SCHOOL-MASKED
RB049,LIVED RURAL AREA DURING SCHOOL
RB050,R RELIGIOUS PREFERENCE
RB052M,DENOMINATION- MASKED
RB082,HOW OFTEN ATTEND RELIGIOUS SERV
RB054,ENGLISH USUALLY SPOKEN IN HOME
RB055,NEW MARRIAGE SINCE PREVIOUS WAVE
RB056,BETWEEN WAVE MARRIAGE START-MONTH
RB057,BETWEEN WAVE MARRIAGE START-YEAR
RB058,DIVORCE/WIDOW SINCE PREVIOUS WAVE
RB059,BETWEEN WAVE DIVORCE/WIDOW-MONTH
RB060,BETWEEN WAVE DIVORCE/WIDOW-YEAR
RB061,MARITAL STATUS IF UNMARRIED
RB065,NUMBER OF MARRIAGES
RB066_1,FIRST MARRIAGE YEAR BEGAN
RB067_1,FIRST MARRIAGE MONTH BEGAN
RB068_1,FIRST MARRIAGE END DIVORCE/WIDOW
RB070_1,FIRST MARRIAGE-YEARS MARRIAGE
RB066_2,SECOND MARRIAGE YEAR BEGAN
RB067_2,SECOND MARRIAGE MONTH BEGAN
RB068_2,SECOND MARRIAGE END DIVORCE/WIDOW
RB070_2,SECOND MARRIAGE-YEARS MARRIAGE
RB066_3,THIRD MARRIAGE YEAR BEGAN
RB067_3,THIRD MARRIAGE MONTH BEGAN
RB068_3,THIRD MARRIAGE END DIVORCE/WIDOW
RB070_3,THIRD MARRIAGE-YEARS MARRIAGE
RB066_4,FOURTH MARRIAGE YEAR BEGAN
RB067_4,FOURTH MARRIAGE MONTH BEGAN
RB068_4,FOURTH MARRIAGE END DIVORCE/WIDOW
RB070_4,FOURTH MARRIAGE-YEARS MARRIED
RB063,MARITAL STATUS ASSIGNED
RB076,ASSIST SECTION B-DEMOGRAPHICS
rcovflag,RCOVFLAG - SECTION B
rbmode,ENDING MODE - SECTION B
rvdate,2020 DATA MODEL VERSION
rversion,2020 DATA RELEASE VERSION
